Phần,Chương,Số điều,Tiêu đề điều,Nội dung điều,Số khoản,Nội dung khoản,Điểm,Nội dung điểm,article_id,clause_id,point_id
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương II - HIỆU LỰC CỦA BỘ LUẬT HÌNH SỰ,5,Hiệu lực của Bộ luật hình sự đối với những hành vi phạm tội trên lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam,,2.0,"Đối với người nước ngoài phạm tội trên lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam thuộc đối tượng được hưởng quyền miễn trừ ngoại giao hoặc lãnh sự theo pháp luật Việt Nam, theo điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên hoặc theo tập quán quốc tế, thì vấn đề trách nhiệm hình sự của họ được giải quyết theo quy định của điều ước quốc tế hoặc theo tập quán quốc tế đó; trường hợp điều ước quốc tế đó không quy định hoặc không có tập quán quốc tế thì trách nhiệm hình sự của họ được giải quyết bằng con đường ngoại giao.",,,5,5_2.0,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương II - HIỆU LỰC CỦA BỘ LUẬT HÌNH SỰ,6,Hiệu lực của Bộ luật hình sự đối với những hành vi phạm tội ở ngoài lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam,,1.0,"Công dân Việt Nam hoặc pháp nhân thương mại Việt Nam có hành vi phạm tội ở ngoài lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam mà Bộ luật này quy định là tội phạm, thì có thể bị truy cứu trách nhiệm hình sự tại Việt Nam theo quy định của Bộ luật này. Quy định này cũng được áp dụng đối với người không quốc tịch thường trú ở Việt Nam.",,,6,6_1.0,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương II - HIỆU LỰC CỦA BỘ LUẬT HÌNH SỰ,6,Hiệu lực của Bộ luật hình sự đối với những hành vi phạm tội ở ngoài lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam,,2.0,"Người nước ngoài, pháp nhân thương mại nước ngoài phạm tội ở ngoài lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam có thể bị truy cứu trách nhiệm hình sự theo quy định của Bộ luật này trong trường hợp hành vi phạm tội xâm hại quyền, lợi ích hợp pháp của công dân Việt Nam hoặc xâm hại lợi ích của nước Cộng hòa xã hội chủ nghĩa Việt Nam hoặc theo quy định của điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên.",,,6,6_2.0,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương II - HIỆU LỰC CỦA BỘ LUẬT HÌNH SỰ,6,Hiệu lực của Bộ luật hình sự đối với những hành vi phạm tội ở ngoài lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam,,3.0,"Đối với hành vi phạm tội hoặc hậu quả của hành vi phạm tội xảy ra trên tàu bay, tàu biển không mang quốc tịch Việt Nam đang ở tại biển cả hoặc tại giới hạn vùng trời nằm ngoài lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam, thì người phạm tội có thể bị truy cứu trách nhiệm hình sự theo quy định của Bộ luật này trong trường hợp điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên có quy định.",,,6,6_3.0,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương II - HIỆU LỰC CỦA BỘ LUẬT HÌNH SỰ,7,Hiệu lực của Bộ luật hình sự về thời gian,,1.0,Điều luật được áp dụng đối với một hành vi phạm tội là điều luật đang có hiệu lực thi hành tại thời điểm mà hành vi phạm tội được thực hiện.,,,7,7_1.0,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương II - HIỆU LỰC CỦA BỘ LUẬT HÌNH SỰ,7,Hiệu lực của Bộ luật hình sự về thời gian,,2.0,"Điều luật quy định một tội phạm mới, một hình phạt nặng hơn, một tình tiết tăng nặng mới hoặc hạn chế phạm vi áp dụng án treo, miễn trách nhiệm hình sự, loại trừ trách nhiệm hình sự, miễn hình phạt, giảm hình phạt, xóa án tích và quy định khác không có lợi cho người phạm tội, thì không được áp dụng đối với hành vi phạm tội đã thực hiện trước khi điều luật đó có hiệu lực thi hành.",,,7,7_2.0,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương II - HIỆU LỰC CỦA BỘ LUẬT HÌNH SỰ,7,Hiệu lực của Bộ luật hình sự về thời gian,,3.0,"Điều luật xóa bỏ một tội phạm, một hình phạt, một tình tiết tăng nặng, quy định một hình phạt nhẹ hơn, một tình tiết giảm nhẹ mới hoặc mở rộng phạm vi áp dụng án treo, miễn trách nhiệm hình sự, loại trừ trách nhiệm hình sự, miễn hình phạt, giảm hình phạt, tha tù trước thời hạn có điều kiện, xóa án tích và quy định khác có lợi cho người phạm tội, thì được áp dụng đối với hành vi phạm tội đã thực hiện trước khi điều luật đó có hiệu lực thi hành.",,,7,7_3.0,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương III - TỘI PHẠM,8,Khái niệm tội phạm,,1.0,"Tội phạm là hành vi nguy hiểm cho xã hội được quy định trong Bộ luật hình sự, do người có năng lực trách nhiệm hình sự hoặc pháp nhân thương mại thực hiện một cách cố ý hoặc vô ý, xâm phạm độc lập, chủ quyền, thống nhất, toàn vẹn lãnh thổ Tổ quốc, xâm phạm chế độ chính trị, chế độ kinh tế, nền văn hóa, quốc phòng, an ninh, trật tự, an toàn xã hội, quyền, lợi ích hợp pháp của tổ chức, xâm phạm quyền con người, quyền, lợi ích hợp pháp của công dân, xâm phạm những lĩnh vực khác của trật tự pháp luật xã hội chủ nghĩa mà theo quy định của Bộ luật này phải bị xử lý hình sự.",,,8,8_1.0,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương III - TỘI PHẠM,8,Khái niệm tội phạm,,2.0,Những hành vi tuy có dấu hiệu của tội phạm nhưng tính chất nguy hiểm cho xã hội không đáng kể thì không phải là tội phạm và được xử lý bằng các biện pháp khác.,,,8,8_2.0,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương III - TỘI PHẠM,9,Phân loại tội phạm,,1.0,"Căn cứ vào tính chất và mức độ nguy hiểm cho xã hội của hành vi phạm tội được quy định trong Bộ luật này, tội phạm được phân thành 04 loại sau đây:",a,"Tội phạm ít nghiêm trọng là tội phạm có tính chất và mức độ nguy hiểm cho xã hội không lớn mà mức cao nhất của khung hình phạt do Bộ luật này quy định đối với tội ấy là phạt tiền, phạt cải tạo không giam giữ hoặc phạt tù đến 03 năm;",9,9_1.0,9_1.0_a
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương III - TỘI PHẠM,9,Phân loại tội phạm,,1.0,"Căn cứ vào tính chất và mức độ nguy hiểm cho xã hội của hành vi phạm tội được quy định trong Bộ luật này, tội phạm được phân thành 04 loại sau đây:",b,Tội phạm nghiêm trọng là tội phạm có tính chất và mức độ nguy hiểm cho xã hội lớn mà mức cao nhất của khung hình phạt do Bộ luật này quy định đối với tội ấy là từ trên 03 năm tù đến 07 năm tù;,9,9_1.0,9_1.0_b
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương III - TỘI PHẠM,9,Phân loại tội phạm,,1.0,"Căn cứ vào tính chất và mức độ nguy hiểm cho xã hội của hành vi phạm tội được quy định trong Bộ luật này, tội phạm được phân thành 04 loại sau đây:",c,Tội phạm rất nghiêm trọng là tội phạm có tính chất và mức độ nguy hiểm cho xã hội rất lớn mà mức cao nhất của khung hình phạt do Bộ luật này quy định đối với tội ấy là từ trên 07 năm tù đến 15 năm tù;,9,9_1.0,9_1.0_c
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương III - TỘI PHẠM,9,Phân loại tội phạm,,1.0,"Căn cứ vào tính chất và mức độ nguy hiểm cho xã hội của hành vi phạm tội được quy định trong Bộ luật này, tội phạm được phân thành 04 loại sau đây:",d,"Tội phạm đặc biệt nghiêm trọng là tội phạm có tính chất và mức độ nguy hiểm cho xã hội đặc biệt lớn mà mức cao nhất của khung hình phạt do Bộ luật này quy định đối với tội ấy là từ trên 15 năm tù đến 20 năm tù, tù chung thân hoặc tử hình.",9,9_1.0,9_1.0_d
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương III - TỘI PHẠM,9,Phân loại tội phạm,,2.0,Tội phạm do pháp nhân thương mại thực hiện được phân loại căn cứ vào tính chất và mức độ nguy hiểm cho xã hội của hành vi phạm tội theo quy định tại khoản 1 Điều này và quy định tương ứng đối với các tội phạm được quy định tại Điều 76 của Bộ luật này.,,,9,9_2.0,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương III - TỘI PHẠM,10,Cố ý phạm tội,Cố ý phạm tội là phạm tội trong những trường hợp sau đây:,1.0,"Người phạm tội nhận thức rõ hành vi của mình là nguy hiểm cho xã hội, thấy trước hậu quả của hành vi đó và mong muốn hậu quả xảy ra;",,,10,10_1.0,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương III - TỘI PHẠM,10,Cố ý phạm tội,Cố ý phạm tội là phạm tội trong những trường hợp sau đây:,2.0,"Người phạm tội nhận thức rõ hành vi của mình là nguy hiểm cho xã hội, thấy trước hậu quả của hành vi đó có thể xảy ra, tuy không mong muốn nhưng vẫn có ý thức để mặc cho hậu quả xảy ra.",,,10,10_2.0,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương III - TỘI PHẠM,11,Vô ý phạm tội,Vô ý phạm tội là phạm tội trong những trường hợp sau đây:,1.0,Người phạm tội tuy thấy trước hành vi của mình có thể gây ra hậu quả nguy hại cho xã hội nhưng cho rằng hậu quả đó sẽ không xảy ra hoặc có thể ngăn ngừa được.,,,11,11_1.0,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương III - TỘI PHẠM,11,Vô ý phạm tội,Vô ý phạm tội là phạm tội trong những trường hợp sau đây:,2.0,"Người phạm tội không thấy trước hành vi của mình có thể gây ra hậu quả nguy hại cho xã hội, mặc dù phải thấy trước và có thể thấy trước hậu quả đó.",,,11,11_2.0,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương III - TỘI PHẠM,12,Tuổi chịu trách nhiệm hình sự,,1.0,"Người từ đủ 16 tuổi trở lên phải chịu trách nhiệm hình sự về mọi tội phạm, trừ những tội phạm mà Bộ luật này có quy định khác.",,,12,12_1.0,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương III - TỘI PHẠM,12,Tuổi chịu trách nhiệm hình sự,,2.0,"Người từ đủ 14 tuổi đến dưới 16 tuổi phải chịu trách nhiệm hình sự về tội phạm rất nghiêm trọng, tội phạm đặc biệt nghiêm trọng quy định tại một trong các điều 123, 134, 141, 142, 143, 144, 150, 151, 168, 169, 170, 171, 173, 178, 248, 249, 250, 251, 252, 265, 266, 286, 287, 289, 290, 299, 303 và 304 của Bộ luật này.",,,12,12_2.0,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương III - TỘI PHẠM,13,"Phạm tội do dùng rượu, bia hoặc chất kích thích mạnh khác","Người phạm tội trong tình trạng mất khả năng nhận thức hoặc khả năng điều khiển hành vi của mình do dùng rượu, bia hoặc chất kích thích mạnh khác, thì vẫn phải chịu trách nhiệm hình sự.",,,,,13,,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương III - TỘI PHẠM,14,Chuẩn bị phạm tội,,1.0,"Chuẩn bị phạm tội là tìm kiếm, sửa soạn công cụ, phương tiện hoặc tạo ra những điều kiện khác để thực hiện tội phạm hoặc thành lập, tham gia nhóm tội phạm, trừ trường hợp thành lập hoặc tham gia nhóm tội phạm quy định tại Điều 109, điểm a khoản 2 Điều 113 hoặc điểm a khoản 2 Điều 299 của Bộ luật này.",,,14,14_1.0,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương III - TỘI PHẠM,14,Chuẩn bị phạm tội,,2.0,"Người chuẩn bị phạm tội quy định tại một trong các điều 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 123, 134, 168, 169, 207, 299, 300, 301, 302, 303 và 324 của Bộ luật này thì phải chịu trách nhiệm hình sự.",,,14,14_2.0,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương III - TỘI PHẠM,14,Chuẩn bị phạm tội,,3.0,"Người từ đủ 14 tuổi đến dưới 16 tuổi chuẩn bị phạm tội quy định tại Điều 123, Điều 168 của Bộ luật này thì phải chịu trách nhiệm hình sự.",,,14,14_3.0,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương III - TỘI PHẠM,15,Phạm tội chưa đạt,Phạm tội chưa đạt là cố ý thực hiện tội phạm nhưng không thực hiện được đến cùng vì những nguyên nhân ngoài ý muốn của người phạm tội. Người phạm tội chưa đạt phải chịu trách nhiệm hình sự về tội phạm chưa đạt.,,,,,15,,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương III - TỘI PHẠM,16,Tự ý nửa chừng chấm dứt việc phạm tội,"Tự ý nửa chừng chấm dứt việc phạm tội là tự mình không thực hiện tội phạm đến cùng, tuy không có gì ngăn cản. Người tự ý nửa chừng chấm dứt việc phạm tội được miễn trách nhiệm hình sự về tội định phạm; nếu hành vi thực tế đã thực hiện có đủ yếu tố cấu thành của một tội khác, thì người đó phải chịu trách nhiệm hình sự về tội này.",,,,,16,,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương III - TỘI PHẠM,17,Đồng phạm,,1.0,Đồng phạm là trường hợp có hai người trở lên cố ý cùng thực hiện một tội phạm.,,,17,17_1.0,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương III - TỘI PHẠM,17,Đồng phạm,,2.0,Phạm tội có tổ chức là hình thức đồng phạm có sự câu kết chặt chẽ giữa những người cùng thực hiện tội phạm.,,,17,17_2.0,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương III - TỘI PHẠM,17,Đồng phạm,,3.0,"Người đồng phạm bao gồm người tổ chức, người thực hành, người xúi giục, người giúp sức. Người thực hành là người trực tiếp thực hiện tội phạm. Người tổ chức là người chủ mưu, cầm đầu, chỉ huy việc thực hiện tội phạm. Người xúi giục là người kích động, dụ dỗ, thúc đẩy người khác thực hiện tội phạm. Người giúp sức là người tạo điều kiện tinh thần hoặc vật chất cho việc thực hiện tội phạm.",,,17,17_3.0,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương III - TỘI PHẠM,17,Đồng phạm,,4.0,Người đồng phạm không phải chịu trách nhiệm hình sự về hành vi vượt quá của người thực hành.,,,17,17_4.0,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương III - TỘI PHẠM,18,Che giấu tội phạm,,1.0,"Người nào không hứa hẹn trước, nhưng sau khi biết tội phạm được thực hiện đã che giấu người phạm tội, dấu vết, tang vật của tội phạm hoặc có hành vi khác cản trở việc phát hiện, điều tra, xử lý người phạm tội, thì phải chịu trách nhiệm hình sự về tội che giấu tội phạm trong những trường hợp mà Bộ luật này quy định.",,,18,18_1.0,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương III - TỘI PHẠM,18,Che giấu tội phạm,,2.0,"Người che giấu tội phạm là ông, bà, cha, mẹ, con, cháu, anh chị em ruột, vợ hoặc chồng của người phạm tội không phải chịu trách nhiệm hình sự theo quy định tại khoản 1 Điều này, trừ trường hợp che giấu các tội xâm phạm an ninh quốc gia hoặc tội đặc biệt nghiêm trọng khác quy định tại Điều 389 của Bộ luật này.",,,18,18_2.0,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương III - TỘI PHẠM,19,Không tố giác tội phạm,,1.0,"Người nào biết rõ tội phạm đang được chuẩn bị, đang được thực hiện hoặc đã được thực hiện mà không tố giác, thì phải chịu trách nhiệm hình sự về tội không tố giác tội phạm quy định tại Điều 390 của Bộ luật này.",,,19,19_1.0,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương III - TỘI PHẠM,19,Không tố giác tội phạm,,2.0,"Người không tố giác là ông, bà, cha, mẹ, con, cháu, anh chị em ruột, vợ hoặc chồng của người phạm tội không phải chịu trách nhiệm hình sự theo quy định tại khoản 1 Điều này, trừ trường hợp không tố giác các tội quy định tại Chương XIII của Bộ luật này hoặc tội khác là tội phạm đặc biệt nghiêm trọng.",,,19,19_2.0,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương III - TỘI PHẠM,19,Không tố giác tội phạm,,3.0,"Người không tố giác là người bào chữa không phải chịu trách nhiệm hình sự theo quy định tại khoản 1 Điều này, trừ trường hợp không tố giác các tội quy định tại Chương XIII của Bộ luật này hoặc tội khác là tội phạm đặc biệt nghiêm trọng do chính người mà mình bào chữa đang chuẩn bị, đang thực hiện hoặc đã thực hiện mà người bào chữa biết rõ khi thực hiện việc bào chữa.",,,19,19_3.0,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương IV - NHỮNG TRƯỜNG HỢP LOẠI TRỪ TRÁCH NHIỆM HÌNH SỰ,20,Sự kiện bất ngờ,"Người thực hiện hành vi gây hậu quả nguy hại cho xã hội trong trường hợp không thể thấy trước hoặc không buộc phải thấy trước hậu quả của hành vi đó, thì không phải chịu trách nhiệm hình sự.",,,,,20,,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương IV - NHỮNG TRƯỜNG HỢP LOẠI TRỪ TRÁCH NHIỆM HÌNH SỰ,21,Tình trạng không có năng lực trách nhiệm hình sự,"Người thực hiện hành vi nguy hiểm cho xã hội trong khi đang mắc bệnh tâm thần, một bệnh khác làm mất khả năng nhận thức hoặc khả năng điều khiển hành vi của mình, thì không phải chịu trách nhiệm hình sự.",,,,,21,,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương IV - NHỮNG TRƯỜNG HỢP LOẠI TRỪ TRÁCH NHIỆM HÌNH SỰ,22,Phòng vệ chính đáng,,1.0,"Phòng vệ chính đáng là hành vi của người vì bảo vệ quyền hoặc lợi ích chính đáng của mình, của người khác hoặc lợi ích của Nhà nước, của cơ quan, tổ chức mà chống trả lại một cách cần thiết người đang có hành vi xâm phạm các lợi ích nói trên. Phòng vệ chính đáng không phải là tội phạm.",,,22,22_1.0,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương IV - NHỮNG TRƯỜNG HỢP LOẠI TRỪ TRÁCH NHIỆM HÌNH SỰ,22,Phòng vệ chính đáng,,2.0,"Vượt quá giới hạn phòng vệ chính đáng là hành vi chống trả rõ ràng quá mức cần thiết, không phù hợp với tính chất và mức độ nguy hiểm cho xã hội của hành vi xâm hại. Người có hành vi vượt quá giới hạn phòng vệ chính đáng phải chịu trách nhiệm hình sự theo quy định của Bộ luật này.",,,22,22_2.0,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương IV - NHỮNG TRƯỜNG HỢP LOẠI TRỪ TRÁCH NHIỆM HÌNH SỰ,23,Tình thế cấp thiết,,1.0,"Tình thế cấp thiết là tình thế của người vì muốn tránh gây thiệt hại cho quyền, lợi ích hợp pháp của mình, của người khác hoặc lợi ích của Nhà nước, của cơ quan, tổ chức mà không còn cách nào khác là phải gây một thiệt hại nhỏ hơn thiệt hại cần ngăn ngừa. Hành vi gây thiệt hại trong tình thế cấp thiết không phải là tội phạm.",,,23,23_1.0,
